Frequency - Plot 0	Amplitude - Plot 0	
1	4.77829	
1.25	4.77829	
1.5	4.77829	
1.75	6.13855	
2	6.13855	
2.25	6.23737	
2.5	6.23737	
2.75	6.25165	
3	6.25165	
3.25	6.36908	
3.5	6.37094	
3.75	6.41406	
4	6.41406	
4.25	6.41406	
4.5	6.41406	
4.75	6.38242	
5	6.19107	
5.25	6.30371	
5.5	6.37411	
5.75	6.37411	
6	6.71286	
6.25	6.71286	
6.5	7.01468	
6.75	7.2933	
7	7.2933	
7.25	7.59097	
7.5	7.59097	
7.75	7.92825	
8	8.32315	
8.25	8.42776	
8.5	8.68793	
8.75	8.68793	
9	8.93884	
9.25	9.22354	
9.5	9.34534	
9.75	9.68179	
10	9.68179	
10.25	9.82501	
10.5	9.82501	
10.75	10.1383	
11	10.3389	
11.25	10.6395	
11.5	10.5317	
11.75	10.3044	
12	10.524	
12.25	10.5497	
12.5	10.7168	
12.75	11.1713	
13	11.2962	
13.25	11.6098	
13.5	11.5703	
13.75	11.7698	
14	11.7698	
14.25	11.5375	
14.5	11.7067	
14.75	11.7067	
15	11.7067	
15.25	11.3899	
15.5	11.3899	
15.75	11.278	
16	11.0882	
16.25	11.0882	
16.5	11.2047	
16.75	11.2548	
17	11.3365	
17.25	11.3128	
17.5	11.3128	
17.75	11.3128	
18	10.7913	
18.25	10.9099	
18.5	11.3162	
18.75	11.4147	
19	11.5534	
19.25	11.5916	
19.5	11.0664	
19.75	10.6609	
20	11.039	
20.25	11.0992	
20.5	10.9691	
20.75	11.0643	
21	10.9274	
21.25	10.8723	
21.5	10.5584	
21.75	10.5584	
22	10.2326	
22.25	10.2326	
22.5	9.84796	
22.75	9.84796	
23	9.84796	
23.25	9.84796	
23.5	10.0376	
23.75	10.0807	
24	10.0807	
24.25	9.59659	
24.5	9.65036	
24.75	8.96631	
25	8.96631	
25.25	8.96631	
25.5	8.68628	
25.75	8.68628	
26	8.74387	
26.25	8.74387	
26.5	8.74387	
26.75	8.59637	
27	8.23682	
27.25	8.23682	
27.5	8.22849	
27.75	8.12799	
28	7.83838	
28.25	7.39914	
28.5	7.18729	
28.75	7.66406	
29	7.4982	
29.25	7.24911	
29.5	6.78632	
29.75	7.51416	
30	7.39807	
30.25	7.01019	
30.5	6.70288	
30.75	6.88046	
31	6.77545	
31.25	6.55865	
31.5	6.38928	
31.75	6.06024	
32	6.3364	
32.25	6.06097	
32.5	6.23514	
32.75	6.23514	
33	5.18781	
33.25	5.37091	
33.5	5.37091	
33.75	5.55515	
34	4.89294	
34.25	4.99606	
34.5	5.27637	
34.75	5.09137	
35	4.42099	
35.25	4.59601	
35.5	4.41824	
35.75	3.98965	
36	3.98785	
36.25	3.42554	
36.5	3.42554	
36.75	4.31424	
37	3.40436	
37.25	3.39203	
37.5	3.96188	
37.75	3.08459	
38	3.60391	
38.25	3.18896	
38.5	2.17398	
38.75	2.17398	
39	3.2894	
39.25	2.53052	
39.5	1.46786	
39.75	2.72482	
40	2.25299	
40.25	3.06018	
40.5	1.89578	
40.75	1.40952	
41	1.40952	
41.25	2.03955	
41.5	2.00705	
41.75	1.86685	
42	1.86685	
