Frequency - Plot 0	Amplitude - Plot 0	
1	-6.19629	
1.25	-6.19629	
1.5	-6.19629	
1.75	-6.19629	
2	-9.21753	
2.25	-10.2612	
2.5	-10.6458	
2.75	-11.0962	
3	-11.0962	
3.25	-12.074	
3.5	-12.2607	
3.75	-12.2607	
4	-12.2607	
4.25	-12.2607	
4.5	-12.9749	
4.75	-14.1833	
5	-16.1169	
5.25	-16.1169	
5.5	-16.1169	
5.75	-17.1716	
6	-18.446	
6.25	-18.446	
6.5	-19.7314	
6.75	-19.7314	
7	-19.7314	
7.25	-19.4568	
7.5	-19.4568	
7.75	-20.072	
8	-19.6436	
8.25	-19.6436	
8.5	-19.6436	
8.75	-19.6436	
9	-20.4785	
9.25	-20.4785	
9.5	-21.1597	
9.75	-21.1597	
10	-21.1597	
10.25	-21.1597	
10.5	-22.5989	
10.75	-22.5989	
11	-23.7085	
11.25	-24.6533	
11.5	-24.4666	
11.75	-25.3784	
12	-25.3784	
12.25	-25.2466	
12.5	-25.2905	
12.75	-25.2905	
13	-24.917	
13.25	-24.917	
13.5	-24.917	
13.75	-25.1257	
14	-25.1257	
14.25	-26.0706	
14.5	-27.356	
14.75	-26.0156	
15	-26.0156	
15.25	-25.4553	
15.5	-25.4553	
15.75	-25.3674	
16	-25.5212	
16.25	-27.6306	
16.5	-29.7839	
16.75	-30.5969	
17	-31.3	
17.25	-42.9456	
17.5	-64.6655	
17.75	-67.0715	
18	-67.0715	
18.25	-69.082	
18.5	-69.082	
18.75	-75.1685	
19	-78.2996	
19.25	-76.8274	
19.5	-76.1353	
19.75	-76.8054	
20	-79.7168	
20.25	-79.7168	
20.5	-81.4746	
20.75	-84.1333	
21	-85.979	
21.25	-85.979	
21.5	-85.8032	
21.75	-85.8032	
22	-91.3623	
22.25	-97.9871	
22.5	-101.239	
22.75	-101.7	
23	-102.063	
23.25	-109.38	
23.5	-111.951	
23.75	-111.951	
24	-113.939	
24.25	-114.873	
24.5	-113.928	
24.75	-113.928	
25	-116.96	
25.25	-117.323	
25.5	-123.003	
25.75	-126.771	
26	-126.837	
26.25	-128.496	
26.5	-127.892	
26.75	-127.892	
27	-132.198	
27.25	-131.891	
27.5	-134.066	
27.75	-134.066	
28	-131.968	
28.25	-131.276	
28.5	-131.276	
28.75	-142.141	
29	-135.648	
29.25	-137.417	
29.5	-145.767	
29.75	-137.736	
30	-130.627	
30.25	-130.627	
30.5	-130.627	
30.75	-133.528	
31	-129.463	
31.25	-129.463	
31.5	-116.334	
31.75	-99.2285	
32	-109.687	
32.25	-109.687	
32.5	-106.216	
32.75	-101.492	
33	-102.7	
33.25	-103.326	
33.5	-115.664	
33.75	-99.5581	
34	-104.667	
34.25	-104.667	
34.5	-98.9539	
34.75	-97.8772	
35	-88.5937	
35.25	-80.9583	
35.5	-82.2327	
35.75	-82.2327	
36	-85.6714	
36.25	-85.6714	
