Frequency - Plot 0	Amplitude - Plot 0	
1	7.35577	
1.25	4.46625	
1.5	0.218292	
1.75	0.218292	
2	0.182983	
2.25	0.182983	
2.5	0.172821	
2.75	0.172821	
3	0.172821	
3.25	0.186401	
3.5	0.186401	
3.75	0.204132	
4	0.154419	
4.25	0.154419	
4.5	0.154419	
4.75	0.169708	
5	0.169708	
5.25	0.131622	
5.5	0.131622	
5.75	0.167908	
6	0.0996094	
6.25	0.0996094	
6.5	0.144989	
6.75	0.0718384	
7	0.0972595	
7.25	0.128693	
7.5	0.128693	
7.75	0.200165	
8	0.187958	
8.25	0.210907	
8.5	0.225281	
8.75	0.262207	
9	0.19223	
9.25	0.24292	
9.5	0.209503	
9.75	0.209503	
10	0.256775	
10.25	0.190247	
10.5	0.2677	
10.75	0.2677	
11	0.31369	
11.25	0.31369	
11.5	0.374786	
11.75	0.188354	
12	0.207275	
12.25	0.185059	
12.5	0.149567	
12.75	0.110443	
13	0.0666199	
13.25	0.110107	
13.5	0.15448	
13.75	0.335907	
14	0.335907	
14.25	0.335907	
14.5	0.335907	
14.75	0.315002	
15	0.387909	
15.25	0.387909	
15.5	0.359741	
15.75	0.227051	
16	0.206573	
16.25	0.0935059	
16.5	0.159088	
16.75	0.229492	
17	0.487396	
17.25	0.529053	
17.5	0.400269	
17.75	0.150574	
18	0.114716	
18.25	0.246582	
18.5	0.199646	
18.75	0.214294	
19	0.358795	
19.25	0.571198	
19.5	0.295166	
19.75	0.0673218	
20	0.0673218	
20.25	0.0389099	
20.5	0.0389099	
20.75	0.1651	
21	0.1651	
21.25	0.231079	
21.5	0.0923767	
21.75	0.532745	
22	0.532745	
22.25	0.543396	
22.5	0.073822	
22.75	0.54776	
23	0.693512	
23.25	0.159576	
23.5	0.246277	
23.75	0.0428772	
24	0.49353	
24.25	0.422638	
24.5	0.422638	
24.75	0.422638	
25	0.422638	
25.25	0.367798	
25.5	0.484894	
25.75	0.217743	
26	0.217743	
26.25	0.207611	
26.5	0.206177	
26.75	0.284088	
27	0.187744	
27.25	0.540436	
27.5	0.378265	
27.75	0.201172	
28	0.326813	
28.25	0.328583	
28.5	0.326416	
28.75	0.631897	
29	0.497894	
29.25	0.253357	
29.5	0.373016	
29.75	0.373016	
30	0.238464	
30.25	0.238464	
30.5	0.596039	
30.75	0.376801	
31	0.376801	
31.25	0.226532	
31.5	0.226532	
31.75	0.500854	
32	0.44632	
32.25	0.129333	
32.5	0.534271	
32.75	0.500946	
33	0.465424	
33.25	0.465424	
33.5	0.248688	
33.75	0.422424	
34	0.283905	
34.25	0.110596	
34.5	0.443573	
34.75	0.654724	
35	0.654724	
35.25	0.27005	
35.5	0.27005	
35.75	0.963623	
36	0.712677	
36.25	0.910004	
36.5	0.243988	
36.75	0.270508	
37	0.0794373	
37.25	0.787079	
37.5	0.694305	
37.75	0.678223	
38	0.663269	
38.25	0.663269	
38.5	0.191498	
38.75	0.558044	
39	0.284027	
39.25	0.362488	
39.5	0.764709	
39.75	0.126831	
40	0.013916	
40.25	0.65271	
40.5	0.643127	
40.75	0.777832	
41	0.131134	
41.25	0.510223	
41.5	0.305939	
41.75	0.61615	
42	0.641571	
42.25	0.593964	
42.5	0.564941	
42.75	0.598633	
43	0.217896	
43.25	0.277039	
43.5	0.7034	
43.75	0.670807	
44	0.68045	
44.25	0.788544	
44.5	0.12442	
44.75	0.562042	
45	0.477173	
45.25	0.844788	
45.5	1.58426	
45.75	0.82251	
46	2.13419	
46.25	2.13419	
46.5	1.65671	
46.75	1.65671	
47	2.05038	
47.25	0.483063	
47.5	0.483063	
47.75	1.01154	
48	0.848145	
48.25	0.62207	
48.5	0.444458	
48.75	0.444458	
49	0.880188	
49.25	0.738892	
49.5	0.738892	
49.75	0.514893	
50	0.269073	
50.25	0.6091	
50.5	0.558044	
50.75	0.714691	
51	0.803406	
51.25	0.373322	
51.5	0.665619	
51.75	0.462372	
52	0.214294	
52.25	0.635773	
52.5	0.651825	
52.75	1.20697	
53	0.93869	
53.25	0.93869	
53.5	0.951111	
53.75	0.741272	
54	0.741272	
54.25	0.730255	
54.5	0.0479431	
54.75	0.120087	
55	0.366852	
55.25	2.72522	
55.5	3.85233	
55.75	1.26404	
56	4.97479	
56.25	4.97479	
56.5	3.49884	
56.75	4.78235	
57	4.83649	
57.25	4.45038	
57.5	3.36722	
57.75	4.15247	
58	3.5759	
58.25	0.925781	
58.5	2.56607	
58.75	0.823242	
59	3.12186	
59.25	0.310791	
59.5	0.576721	
59.75	1.39917	
60	3.26083	
60.25	4.49136	
60.5	3.62738	
60.75	0.885193	
61	1.57077	
61.25	0.304504	
61.5	2.44781	
61.75	1.02359	
62	0.604462	
62.25	0.755554	
62.5	0.917206	
62.75	0.911377	
63	0.989136	
63.25	1.01474	
63.5	1.13971	
63.75	1.29572	
64	1.03253	
64.25	2.95456	
64.5	0.92337	
64.75	2.81766	
65	0.31488	
65.25	1.95972	
65.5	0.758575	
65.75	1.26855	
66	4.18692	
66.25	3.63269	
66.5	2.59802	
66.75	3.64578	
67	4.40652	
67.25	5.33929	
67.5	3.87222	
67.75	2.82889	
68	2.06119	
68.25	2.68613	
68.5	4.90573	
68.75	3.2916	
69	1.32755	
69.25	2.45905	
69.5	3.68811	
69.75	3.79794	
70	3.09897	
70.25	0.603668	
70.5	0.792358	
70.75	3.53864	
71	0.69809	
71.25	0.787933	
71.5	1.08493	
71.75	1.11731	
72	0.244873	
72.25	0.640045	
72.5	1.57672	
72.75	1.92105	
73	1.46603	
73.25	0.716156	
73.5	4.12814	
73.75	0.948181	
74	2.98053	
74.25	1.22888	
74.5	1.25772	
74.75	0.991791	
75	1.34662	
75.25	0.542755	
75.5	1.01675	
75.75	0.981201	
76	1.19443	
76.25	0.173279	
76.5	0.94455	
76.75	1.4473	
77	0.625671	
77.25	0.769073	
77.5	0.22879	
77.75	0.562897	
78	0.125244	
78.25	0.906281	
78.5	1.65265	
78.75	0.50235	
79	1.37146	
79.25	2.02335	
79.5	0.486298	
79.75	0.865692	
80	0.665283	
80.25	0.58316	
80.5	2.48514	
80.75	1.10477	
81	0.99826	
81.25	2.42719	
81.5	2.38818	
81.75	1.44342	
82	1.67462	
82.25	2.90155	
82.5	1.99115	
82.75	1.50162	
83	1.75095	
83.25	1.84583	
83.5	1.67032	
83.75	1.19977	
84	1.36847	
84.25	2.46179	
84.5	1.75122	
84.75	2.3605	
85	2.05832	
85.25	2.52844	
85.5	0.747589	
85.75	0.949066	
86	1.30603	
86.25	1.01096	
86.5	1.48581	
86.75	1.2088	
87	0.227142	
87.25	1.7218	
87.5	1.7218	
87.75	1.01627	
88	0.931152	
