Frequency - Plot 0	Amplitude - Plot 0	
1	2.25436	
1.25	2.25436	
1.5	9.31454	
1.75	9.32034	
2	8.26093	
2.25	8.26093	
2.5	7.83105	
2.75	7.83105	
3	7.81403	
3.25	7.81403	
3.5	8.85257	
3.75	8.85257	
4	9.32584	
4.25	9.32584	
4.5	9.32047	
4.75	9.27225	
5	9.27225	
5.25	9.1889	
5.5	9.09406	
5.75	9.09406	
6	9.03513	
6.25	8.98969	
6.5	8.99124	
6.75	8.99124	
7	8.86545	
7.25	8.69788	
7.5	8.8808	
7.75	8.97742	
8	9.09348	
8.25	9.07571	
8.5	9.07571	
8.75	9.07571	
9	8.92477	
9.25	8.92477	
9.5	8.78174	
9.75	8.7103	
10	8.29141	
10.25	8.41724	
10.5	7.66064	
10.75	7.87659	
11	8.41742	
11.25	8.50467	
11.5	8.50467	
11.75	8.50467	
12	8.57275	
12.25	8.71051	
12.5	8.71051	
12.75	8.84183	
13	8.86133	
13.25	8.85251	
13.5	8.95987	
13.75	9.08557	
14	9.08212	
14.25	9.35931	
14.5	9.6413	
14.75	9.69571	
15	9.68698	
15.25	9.37674	
15.5	9.08649	
15.75	9.10617	
16	9.23514	
16.25	9.15472	
16.5	9.13248	
16.75	8.97836	
17	8.97836	
17.25	8.91818	
17.5	8.43665	
17.75	8.246	
18	8.08737	
18.25	7.51321	
18.5	7.67004	
18.75	7.61697	
19	7.80643	
19.25	7.80093	
19.5	7.332	
19.75	6.69968	
20	6.48709	
20.25	6.48709	
20.5	5.18991	
20.75	5.26135	
21	5.26135	
21.25	3.85977	
21.5	3.85977	
21.75	3.58243	
22	2.79874	
22.25	2.79874	
22.5	2.83658	
22.75	2.42603	
23	2.40286	
23.25	2.65445	
23.5	2.6312	
23.75	2.65259	
24	2.95587	
24.25	3.18991	
24.5	3.18991	
24.75	3.72345	
25	3.61331	
25.25	3.70001	
25.5	3.98642	
25.75	3.52814	
26	4.06	
26.25	4.10251	
26.5	4.52948	
26.75	4.18649	
27	4.25195	
27.25	4.35495	
27.5	4.35495	
27.75	4.82556	
28	5.08823	
28.25	4.67288	
28.5	4.53793	
28.75	4.53793	
29	5.11841	
29.25	5.29343	
29.5	5.40073	
29.75	4.95425	
30	4.81332	
30.25	5.47382	
30.5	5.8555	
30.75	5.63214	
31	5.36246	
31.25	5.57043	
31.5	6.02945	
31.75	6.11609	
32	5.7757	
32.25	5.99753	
32.5	6.50461	
32.75	6.08102	
33	6.26828	
33.25	6.40781	
33.5	6.42819	
33.75	7.10791	
34	6.58188	
34.25	6.5683	
34.5	6.91843	
34.75	6.91843	
35	6.94409	
35.25	7.1098	
35.5	7.1098	
35.75	7.07169	
36	6.3609	
36.25	6.62692	
