Frequency - Plot 0	Amplitude - Plot 0	
1	9.27621	
1.25	9.36588	
1.5	9.36588	
1.75	9.36588	
2	9.36584	
2.25	9.42798	
2.5	9.42798	
2.75	9.31326	
3	9.31326	
3.25	9.31326	
3.5	9.37033	
3.75	9.37033	
4	9.39615	
4.25	9.4043	
4.5	9.4043	
4.75	9.38123	
5	9.4176	
5.25	9.43097	
5.5	9.43097	
5.75	9.16229	
6	8.82965	
6.25	8.82965	
6.5	8.82965	
6.75	8.90335	
7	8.90335	
7.25	9.18356	
7.5	9.3717	
7.75	9.3717	
8	9.37381	
8.25	9.37381	
8.5	9.37381	
8.75	9.52438	
9	9.39682	
9.25	9.37625	
9.5	9.37625	
9.75	9.45386	
10	9.41754	
10.25	9.41754	
10.5	9.41754	
10.75	9.3714	
11	9.52457	
11.25	9.51877	
11.5	8.93338	
11.75	8.94138	
12	8.79218	
12.25	8.72357	
12.5	9.04803	
12.75	8.81534	
13	8.76059	
13.25	8.61627	
13.5	8.61627	
13.75	8.61627	
14	8.61169	
14.25	8.34424	
14.5	9.15039	
14.75	9.5386	
15	9.4808	
15.25	9.4808	
15.5	10.0095	
15.75	10.2994	
16	10.5108	
16.25	10.5108	
16.5	10.7849	
16.75	10.7849	
17	11.0356	
17.25	10.6689	
17.5	10.6514	
17.75	10.6476	
18	10.6222	
18.25	11.0361	
18.5	10.7355	
18.75	10.925	
19	10.3765	
19.25	9.76538	
19.5	9.71457	
19.75	9.93845	
20	9.66748	
20.25	9.58148	
20.5	9.64542	
20.75	9.43188	
21	9.42035	
21.25	9.20905	
21.5	8.6738	
21.75	9.22324	
22	8.84665	
22.25	8.84665	
22.5	8.36359	
22.75	7.69861	
23	8.09631	
23.25	8.09631	
23.5	8.11453	
23.75	8.15372	
24	8.3902	
24.25	7.98398	
24.5	7.45627	
24.75	7.73236	
25	7.55496	
25.25	7.4931	
25.5	7.45615	
25.75	6.98682	
26	5.96997	
26.25	6.27237	
26.5	5.76306	
26.75	5.52179	
27	5.05594	
27.25	5.05594	
27.5	4.75623	
27.75	3.79443	
28	3.4028	
28.25	3.4028	
28.5	2.70572	
28.75	2.70572	
29	2.38312	
29.25	1.77518	
29.5	1.80304	
29.75	2.29773	
30	2.29773	
30.25	2.29773	
30.5	3.25812	
30.75	4.31357	
31	4.54132	
31.25	4.70544	
31.5	4.70544	
31.75	4.9306	
32	5.52551	
32.25	5.05899	
32.5	4.80905	
32.75	4.80905	
33	4.80905	
33.25	4.62335	
33.5	5.04514	
33.75	4.32877	
34	4.32877	
34.25	4.32877	
34.5	5.03073	
34.75	4.40155	
35	5.39981	
35.25	5.04654	
35.5	5.16278	
35.75	5.75528	
36	5.53937	
36.25	5.20325	
36.5	4.0853	
36.75	4.0853	
37	4.3298	
37.25	4.00894	
37.5	3.69534	
37.75	5.0592	
38	3.97632	
38.25	4.21194	
38.5	3.92157	
38.75	4.12811	
39	5.17188	
39.25	5.17188	
39.5	5.17188	
39.75	3.00626	
40	2.4964	
40.25	1.55402	
40.5	2.04214	
40.75	1.961	
41	2.60419	
41.25	1.6416	
41.5	1.84006	
41.75	0.995087	
42	1.91702	
42.25	1.64069	
42.5	1.21808	
42.75	1.0864	
43	1.20236	
43.25	1.05145	
43.5	1.99756	
43.75	0.949463	
44	1.41437	
44.25	1.73428	
44.5	1.46951	
44.75	1.31744	
45	0.888	
45.25	2.66165	
45.5	2.66165	
45.75	2.21307	
46	1.93005	
46.25	4.75693	
46.5	4.2402	
46.75	4.2402	
47	4.2402	
47.25	5.65247	
47.5	5.65247	
47.75	1.98618	
48	3.90543	
48.25	2.71841	
48.5	2.89548	
48.75	1.36148	
49	1.9577	
49.25	2.7186	
49.5	3.26022	
49.75	1.93054	
50	4.54489	
50.25	2.54248	
50.5	3.08411	
50.75	2.48645	
51	1.97836	
51.25	3.63495	
51.5	2.47046	
51.75	1.64981	
52	1.64981	
52.25	2.91815	
52.5	2.30103	
52.75	2.8222	
53	3.79202	
53.25	1.04172	
53.5	2.89764	
53.75	2.43439	
54	1.73038	
54.25	2.63943	
54.5	2.41229	
54.75	2.72446	
55	2.25964	
55.25	2.81006	
55.5	2.0137	
55.75	2.63675	
56	3.09973	
56.25	2.93454	
56.5	1.84286	
56.75	3.23099	
57	0.70871	
57.25	2.80408	
57.5	2.69147	
57.75	2.30832	
58	3.24716	
58.25	2.59744	
58.5	1.78983	
58.75	2.18848	
59	3.23227	
59.25	1.9989	
59.5	3.0817	
59.75	2.34845	
60	1.62183	
60.25	3.01559	
60.5	2.34381	
60.75	2.07709	
61	2.09814	
61.25	2.1557	
61.5	2.36444	
61.75	2.36444	
62	2.36444	
62.25	1.81384	
62.5	2.33017	
62.75	1.97949	
63	2.49786	
63.25	2.79105	
63.5	2.54376	
63.75	2.2677	
64	1.53955	
64.25	3.27719	
64.5	1.95035	
64.75	2.93701	
65	2.87033	
65.25	2.06107	
65.5	2.23462	
65.75	2.63095	
66	2.80313	
66.25	2.56717	
66.5	2.38785	
66.75	2.54865	
67	2.569	
67.25	2.16983	
67.5	3.96924	
67.75	2.82675	
68	3.43988	
68.25	2.32056	
68.5	1.91788	
68.75	3.35489	
69	2.50464	
69.25	3.54404	
69.5	3.03125	
69.75	3.16437	
70	3.1409	
70.25	2.88495	
70.5	2.61957	
70.75	2.89322	
71	3.26483	
71.25	3.14606	
71.5	2.94873	
71.75	2.54865	
72	3.03934	
72.25	2.36755	
72.5	2.16425	
72.75	3.52408	
73	3.33237	
73.25	3.77328	
73.5	3.73727	
73.75	3.38382	
74	3.13535	
74.25	4.28006	
74.5	3.14688	
74.75	3.36609	
75	3.61057	
75.25	3.09052	
75.5	3.04285	
75.75	3.81369	
76	3.84842	
76.25	3.49347	
76.5	3.66382	
76.75	3.66382	
77	4.47311	
77.25	3.37851	
77.5	4.20908	
77.75	4.21732	
78	3.79901	
78.25	4.25388	
78.5	4.05746	
78.75	3.42923	
79	4.68427	
79.25	4.76114	
79.5	4.45938	
79.75	4.18036	
80	3.88205	
80.25	3.13965	
80.5	4.2782	
80.75	4.61792	
81	4.13947	
81.25	3.94424	
81.5	3.52896	
81.75	3.32379	
82	3.39502	
82.25	3.7233	
82.5	3.37595	
82.75	3.49664	
83	3.06207	
83.25	3.28214	
83.5	3.56924	
83.75	2.95206	
84	3.85117	
84.25	2.60828	
84.5	2.7261	
84.75	2.86829	
85	3.89288	
85.25	3.22357	
85.5	3.23529	
85.75	3.0643	
86	3.63632	
86.25	2.32599	
86.5	2.39166	
86.75	3.42215	
87	2.40817	
87.25	3.70554	
87.5	2.17163	
87.75	3.22101	
88	3.40167	
88.25	2.78381	
88.5	2.78586	
88.75	3.41016	
89	2.60107	
89.25	2.48724	
89.5	2.80524	
89.75	3.2446	
90	2.8342	
90.25	3.26978	
90.5	3.18573	
90.75	2.86682	
91	3.07242	
91.25	3.09808	
91.5	3.09808	
91.75	3.52441	
92	2.97134	
92.25	2.98444	
92.5	3.42111	
92.75	2.99982	
93	3.23804	
93.25	2.34155	
93.5	2.13794	
93.75	3.07553	
94	3.16324	
94.25	2.4556	
94.5	3.8432	
94.75	3.80386	
95	2.56424	
95.25	2.45599	
95.5	3.52612	
95.75	3.37881	
96	2.32227	
96.25	3.73315	
96.5	3.55762	
96.75	2.67514	
97	2.98245	
97.25	3.78189	
97.5	3.5957	
97.75	3.29385	
98	3.65814	
98.25	3.22452	
98.5	3.52036	
98.75	3.8461	
99	3.37973	
99.25	3.47183	
99.5	3.23419	
99.75	3.50797	
100	3.62296	
100.25	3.80765	
100.5	3.28027	
100.75	3.59009	
101	0.302795	
