Frequency - Plot 0	Amplitude - Plot 0	
1	-144.382	
1.25	-144.382	
1.5	-6.77856	
1.75	-7.50366	
2	-7.50366	
2.25	-8.26172	
2.5	-8.89893	
2.75	-8.89893	
3	-9.86572	
3.25	-9.8877	
3.5	-9.8877	
3.75	-9.8877	
4	-10.5469	
4.25	-12.3816	
4.5	-12.2058	
4.75	-13.0627	
5	-13.0627	
5.25	-13.7109	
5.5	-14.7986	
5.75	-15.1941	
6	-15.1941	
6.25	-15.1941	
6.5	-16.897	
6.75	-16.6223	
7	-17.4683	
7.25	-17.9297	
7.5	-17.9297	
7.75	-20.061	
8	-20.061	
8.25	-21.0937	
8.5	-21.3135	
8.75	-21.3135	
9	-22.6538	
9.25	-22.6538	
9.5	-22.6538	
9.75	-25.4883	
10	-25.4883	
10.25	-26.1584	
10.5	-26.0046	
10.75	-27.0154	
11	-27.1692	
11.25	-26.9604	
11.5	-26.7847	
11.75	-26.6638	
12	-27.5098	
12.25	-27.6526	
12.5	-28.2678	
12.75	-28.2678	
13	-28.2678	
13.25	-28.147	
13.5	-29.5972	
13.75	-30.542	
14	-30.542	
14.25	-33.6731	
14.5	-37.9797	
14.75	-43.6816	
15	-43.6816	
15.25	-55.6018	
15.5	-62.5012	
15.75	-63.3362	
16	-63.9404	
16.25	-66.0718	
16.5	-66.6101	
16.75	-71.1804	
17	-75.3552	
17.25	-77.4316	
17.5	-76.8274	
17.75	-74.0259	
18	-75.0806	
18.25	-71.7187	
18.5	-73.5425	
18.75	-75.8386	
19	-75.8386	
19.25	-80.2002	
19.5	-79.2664	
19.75	-79.1675	
20	-81.8591	
20.25	-83.573	
20.5	-83.573	
20.75	-87.8796	
21	-87.7478	
21.25	-87.7478	
21.5	-92.2742	
21.75	-92.3071	
22	-89.7583	
22.25	-89.8462	
22.5	-100.569	
22.75	-100.569	
23	-100.569	
23.25	-100.031	
23.5	-102.678	
23.75	-103.008	
24	-103.008	
24.25	-123.42	
24.5	-126.112	
24.75	-134.846	
25	-134.846	
25.25	-134	
25.5	-140.878	
25.75	-140.021	
26	-133.484	
26.25	-132.144	
26.5	-130.43	
26.75	-124.904	
27	-126.969	
27.25	-106.578	
27.5	-105.183	
27.75	-106.37	
28	-106.37	
28.25	-101.766	
28.5	-102.393	
28.75	-93.1201	
29	-93.1201	
29.25	-81.8481	
29.5	-81.8481	
29.75	-72.4438	
30	-72.4438	
30.25	-72.4438	
30.5	-66.2476	
30.75	-77.0361	
31	-77.0361	
31.25	-83.595	
31.5	-83.1995	
31.75	-75.1465	
32	-85.0671	
32.25	-82.8369	
32.5	-87.8137	
32.75	-98.5583	
33	-98.5583	
33.25	-94.79	
33.5	-74.5093	
33.75	-91.571	
34	-82.8809	
34.25	-82.8809	
34.5	-91.8127	
34.75	-77.4866	
35	-77.4866	
35.25	-108.809	
35.5	-82.0459	
35.75	-85.3528	
36	-64.7644	
36.25	-102.448	
36.5	-99.0857	
36.75	-106.655	
37	-122.926	
37.25	-142.965	
37.5	-107.71	
37.75	-113.632	
38	-74.8169	
38.25	-165.806	
38.5	-71.2683	
38.75	-153.666	
39	-146.393	
39.25	-134.835	
39.5	-117.598	
39.75	-133.187	
40	-177.825	
40.25	-147.678	
40.5	-147.678	
40.75	-69.7852	
41	-144.58	
41.25	-141.724	
41.5	-135.385	
41.75	-149.26	
42	-51.7456	
42.25	-169.354	
42.5	-105.897	
42.75	94.032	
43	-91.4722	
43.25	142.701	
43.5	-131.715	
43.75	159.478	
44	-72.2681	
44.25	-152.842	
44.5	-24.8621	
44.75	-101.404	
45	-101.404	
45.25	-92.5378	
45.5	-125.914	
45.75	-125.914	
46	10.2173	
46.25	-98.2837	
46.5	-15.8862	
46.75	-15.8862	
47	-15.6335	
47.25	-12.5903	
47.5	-48.8672	
47.75	-13.4363	
48	-10.9973	
48.25	46.3513	
48.5	46.3513	
48.75	-5.88867	
49	-3.22998	
49.25	-17.8528	
49.5	-23.8843	
49.75	10.7336	
50	-52.8442	
50.25	43.1982	
50.5	33.5522	
50.75	-6.31714	
51	-29.1577	
51.25	-11.7444	
51.5	-31.0693	
51.75	1.8457	
52	-17.3584	
52.25	-32.0691	
52.5	-32.4207	
52.75	11.4807	
53	-34.0027	
53.25	-6.92139	
53.5	-43.396	
53.75	-43.396	
