Frequency - Plot 0	Amplitude - Plot 0	
200	20.4261	
200.25	20.1239	
200.5	19.1383	
200.75	18.4662	
201	18.0639	
201.25	17.0881	
201.5	16.9199	
201.75	16.9655	
202	16.3514	
202.25	17.2528	
202.5	16.6791	
202.75	16.3555	
203	15.8356	
203.25	16.9521	
203.5	16.9732	
203.75	17.4677	
204	16.0733	
204.25	15.0515	
204.5	17.3059	
204.75	14.9848	
205	15.0648	
205.25	15.3924	
205.5	17.6828	
205.75	15.4066	
206	14.9691	
206.25	17.3757	
206.5	15.3969	
206.75	14.3143	
207	14.3331	
207.25	17.0592	
207.5	14.9382	
207.75	14.5977	
208	17.5335	
208.25	14.3705	
208.5	17.4001	
208.75	14.7728	
209	15.2832	
209.25	17.5146	
209.5	16.789	
209.75	15.9702	
210	16.7874	
210.25	17.2296	
210.5	14.0705	
210.75	17.2316	
211	15.3418	
211.25	13.6936	
211.5	13.3971	
211.75	13.1447	
212	15.1605	
212.25	17.6278	
212.5	17.4772	
212.75	16.4937	
213	13.2451	
213.25	14.6176	
213.5	17.17	
213.75	13.278	
214	16.6887	
214.25	16.2687	
214.5	17.3694	
214.75	17.4092	
215	17.5316	
215.25	16.4462	
215.5	16.0008	
215.75	17.3922	
216	14.4393	
216.25	13.9501	
216.5	14.9034	
216.75	14.7257	
217	16.6223	
217.25	16.7823	
217.5	14.4728	
217.75	13.7296	
218	16.8449	
218.25	17.2232	
218.5	14.382	
218.75	16.8856	
219	16.5694	
219.25	16.5428	
219.5	14.3639	
219.75	16.2947	
220	17.1517	
220.25	16.7148	
220.5	17.1648	
220.75	15.7076	
221	15.171	
221.25	15.1008	
221.5	15.2164	
221.75	16.0702	
222	17.0542	
222.25	16.0108	
222.5	17.0602	
222.75	16.842	
223	16.9599	
223.25	17.0317	
223.5	16.9404	
223.75	16.5793	
224	16.9969	
224.25	16.5432	
224.5	16.7691	
224.75	16.894	
225	16.9036	
225.25	16.7519	
225.5	16.7817	
225.75	16.6599	
226	16.7301	
226.25	16.6701	
226.5	16.7525	
226.75	17.212	
227	16.7859	
227.25	16.4702	
227.5	16.7729	
227.75	16.7207	
228	17.8365	
228.25	16.4585	
228.5	16.5132	
228.75	16.1028	
229	16.869	
229.25	18.0945	
229.5	16.2022	
229.75	18.0168	
230	18.1014	
230.25	17.202	
230.5	18.1975	
230.75	17.9945	
231	18.6984	
231.25	16.5496	
231.5	18.9884	
231.75	17.5457	
232	18.9554	
232.25	15.977	
232.5	16.6292	
232.75	16.1502	
233	17.2518	
233.25	19.3504	
233.5	18.4551	
233.75	16.2276	
234	16.3109	
234.25	15.6521	
234.5	15.7974	
234.75	18.3449	
235	15.5604	
235.25	17.1386	
235.5	18.2031	
235.75	18.0833	
236	19.0039	
236.25	18.5797	
236.5	15.959	
236.75	16.8267	
237	16.2416	
237.25	17.6164	
237.5	17.6606	
237.75	16.5642	
238	16.265	
238.25	19.6028	
238.5	19.416	
238.75	17.6137	
239	19.5353	
239.25	16.4695	
239.5	15.7713	
239.75	19.3907	
240	16.0345	
240.25	19.7358	
240.5	19.6185	
240.75	19.8444	
241	16.3264	
241.25	19.8681	
241.5	19.5387	
241.75	16.6465	
242	20.2551	
242.25	20.3217	
242.5	20.3065	
242.75	20.141	
243	20.3984	
243.25	17.2094	
243.5	20.1942	
243.75	18.0505	
244	19.66	
244.25	18.9372	
244.5	20.142	
244.75	18.5374	
245	17.8542	
245.25	20.162	
245.5	17.7743	
245.75	19.0669	
246	19.9744	
246.25	19.9697	
246.5	19.8015	
246.75	19.6366	
247	20.0566	
247.25	18.8056	
247.5	19.9088	
247.75	20.0255	
248	20.0695	
248.25	19.9431	
248.5	19.9032	
248.75	19.5732	
249	19.8857	
249.25	19.744	
249.5	19.9911	
249.75	20.0097	
250	19.8442	
250.25	19.0847	
250.5	17.4301	
250.75	18.7381	
251	21.8663	
251.25	22.3486	
251.5	19.0471	
251.75	19.9661	
252	19.1785	
252.25	17.819	
252.5	20.2611	
252.75	19.3022	
253	18.8125	
253.25	21.9067	
253.5	18.2688	
253.75	22.4856	
254	21.9844	
254.25	18.9461	
254.5	22.2933	
254.75	19.0775	
255	18.2847	
255.25	21.4155	
255.5	21.9562	
255.75	22.2451	
256	18.3148	
256.25	18.5922	
256.5	20.0364	
256.75	22.7767	
257	21.6287	
257.25	20.2309	
257.5	19.4702	
257.75	18.8713	
258	22.286	
258.25	19.1313	
258.5	22.0594	
258.75	19.7309	
259	20.8688	
259.25	21.1425	
259.5	22.4251	
259.75	19.8076	
260	22.5939	
260.25	21.2162	
260.5	21.2774	
260.75	22.8329	
261	22.747	
261.25	22.6686	
261.5	22.9777	
261.75	20.9254	
262	23.0345	
262.25	21.9776	
262.5	21.4219	
262.75	20.7829	
263	21.2284	
263.25	20.5363	
263.5	22.6209	
263.75	23.0495	
264	22.7228	
264.25	22.233	
264.5	22.771	
264.75	22.6833	
265	22.6467	
265.25	22.3704	
265.5	22.7299	
265.75	22.701	
266	22.8995	
266.25	22.4999	
266.5	23.1695	
266.75	23.6308	
267	23.6236	
267.25	23.1463	
267.5	14.1684	
267.75	13.8669	
268	14.8377	
268.25	15.3487	
268.5	17.0631	
268.75	18.7436	
269	19.9492	
269.25	22.2882	
269.5	23.1122	
269.75	24.8737	
270	23.7639	
270.25	23.6621	
270.5	23.4167	
270.75	23.9054	
271	24.9619	
271.25	23.4968	
271.5	24.9927	
271.75	24.8474	
272	24.034	
272.25	23.9448	
272.5	25.5414	
272.75	25.6383	
273	23.3883	
273.25	23.7314	
273.5	23.4729	
273.75	23.7327	
274	23.4456	
274.25	23.3503	
274.5	23.733	
274.75	27.0413	
275	25.1581	
275.25	16.9629	
275.5	13.6212	
275.75	14.8264	
276	16.8256	
276.25	19.3232	
276.5	25.4399	
276.75	27.6005	
277	26.3254	
277.25	23.7492	
277.5	26.7012	
277.75	27.3521	
278	25.0734	
278.25	20.5756	
278.5	16.0412	
278.75	18.3967	
279	16.6959	
279.25	18.8338	
279.5	21.9262	
279.75	23.2358	
280	27.7359	
280.25	25.7189	
280.5	25.1365	
280.75	26.6283	
281	26.634	
281.25	23.5356	
281.5	27.7381	
281.75	24.8419	
282	27.4373	
282.25	23.4229	
282.5	27.5623	
282.75	25.8973	
283	28.1493	
283.25	27.9534	
283.5	27.5786	
283.75	25.6297	
284	24.425	
284.25	23.6035	
284.5	26.9466	
284.75	27.9534	
285	16.9258	
285.25	14.3249	
285.5	14.2304	
285.75	18.5834	
286	20.9265	
286.25	24.5249	
286.5	25.3348	
286.75	24.2168	
287	24.5062	
287.25	25.8923	
287.5	28.3746	
287.75	25.8796	
288	27.4126	
288.25	25.2195	
288.5	28.1463	
288.75	25.8391	
289	24.8543	
289.25	30.5149	
289.5	36.9277	
289.75	36.312	
290	36.59	
290.25	37.3683	
290.5	37.0372	
290.75	36.7912	
291	36.5282	
291.25	32.7366	
291.5	36.2904	
291.75	33.4325	
292	32.3847	
292.25	36.2349	
292.5	36.0351	
292.75	36.1868	
293	35.5408	
293.25	35.5801	
293.5	35.0658	
293.75	35.4883	
294	35.3672	
294.25	32.1924	
294.5	34.5888	
294.75	35.1122	
295	35.3113	
295.25	32.7475	
295.5	35.1028	
295.75	35.3994	
296	35.0811	
296.25	34.799	
296.5	34.8921	
296.75	34.6205	
297	33.1044	
297.25	34.7495	
297.5	34.3749	
297.75	33.6507	
298	33.7451	
298.25	33.5724	
298.5	33.7223	
298.75	34.4209	
299	33.9625	
299.25	34.3623	
299.5	34.0379	
299.75	34.198	
300	34.32	
300.25	34.6193	
300.5	34.5465	
300.75	34.2942	
301	34.4871	
301.25	34.7786	
301.5	34.44	
301.75	34.2065	
302	34.2804	
302.25	34.2273	
302.5	34.8287	
302.75	34.2287	
303	34.4595	
303.25	35.6534	
303.5	34.0583	
303.75	33.8427	
304	33.8427	

