Frequency - Plot 0	Amplitude - Plot 0	
1	18.7792	
1.25	20.8842	
1.5	20.8842	
1.75	24.8335	
2	24.8335	
2.25	24.8667	
2.5	24.6503	
2.75	24.6503	
3	24.5336	
3.25	24.5336	
3.5	24.5311	
3.75	24.5311	
4	24.4714	
4.25	24.4714	
4.5	24.4714	
4.75	24.4591	
5	24.4407	
5.25	24.4407	
5.5	24.28	
5.75	24.28	
6	24.1811	
6.25	24.274	
6.5	24.2063	
6.75	24.2874	
7	24.2874	
7.25	24.2874	
7.5	24.2874	
7.75	24.2874	
8	24.3058	
8.25	24.2513	
8.5	24.2513	
8.75	24.1741	
9	24.166	
9.25	24.166	
9.5	24.1674	
9.75	24.1674	
10	24.3181	
10.25	24.3796	
10.5	24.458	
10.75	24.2788	
11	24.7119	
11.25	24.755	
11.5	24.5824	
11.75	24.5824	
12	24.4729	
12.25	24.2918	
12.5	24.2918	
12.75	23.9822	
13	24.042	
13.25	23.4834	
13.5	23.4834	
13.75	24.1108	
14	24.1108	
14.25	24.0909	
14.5	24.2317	
14.75	24.4385	
15	24.4385	
15.25	24.3523	
15.5	24.2186	
15.75	24.2186	
16	24.2186	
16.25	24.1702	
16.5	24.1702	
16.75	24.1377	
17	23.3832	
17.25	23.3832	
17.5	24.3521	
17.75	24.3521	
18	24.434	
18.25	25.3632	
18.5	25.3432	
18.75	25.2802	
19	25.1556	
19.25	25.1556	
19.5	24.9712	
19.75	24.9712	
20	24.8233	
20.25	24.5731	
20.5	23.599	
20.75	24.2271	
21	23.9976	
21.25	24.5345	
21.5	24.8721	
21.75	25.0682	
22	25.0682	
22.25	23.6009	
22.5	23.9639	
22.75	24.7461	
23	24.6697	
23.25	23.9384	
23.5	24.4106	
23.75	23.9781	
24	22.8541	
24.25	23.9056	
24.5	24.04	
24.75	24.338	
25	24.1891	
25.25	23.2917	
25.5	23.2917	
25.75	22.3886	
26	23.447	
26.25	24.0107	
26.5	23.6911	
26.75	23.6911	
27	23.8093	
27.25	23.5863	
27.5	22.6393	
27.75	23.1347	
28	23.3185	
28.25	23.734	
28.5	23.734	
28.75	23.4291	
29	23.895	
29.25	22.8198	
29.5	21.042	
29.75	23.5024	
30	23.2354	
30.25	22.5524	
30.5	22.5524	
30.75	22.4596	
31	21.5128	
31.25	21.6429	
31.5	20.8683	
31.75	22.7852	
32	22.9884	
32.25	21.8183	
32.5	20.9031	
32.75	22.895	
33	22.3115	
33.25	22.3744	
33.5	19.8348	
33.75	19.8348	
34	19.8348	
34.25	19.8348	
34.5	20.1599	
34.75	22.164	
35	22.8997	
35.25	22.8997	
35.5	20.8051	
35.75	20.8051	
36	23.536	
36.25	22.3547	
36.5	22.3547	
36.75	21.0688	
37	22.439	
37.25	21.9484	
37.5	23.4874	
37.75	23.1926	
38	23.4741	
38.25	24.5402	
38.5	22.4166	
38.75	21.8247	
39	23.4985	
39.25	22.8587	
39.5	18.5959	
39.75	21.7533	
40	22.9518	
40.25	23.8152	
40.5	23.9821	
40.75	19.0733	
41	23.5255	
41.25	24.0137	
41.5	20.1095	
41.75	25.6249	
42	21.7454	
42.25	21.7454	
42.5	25.265	
42.75	19.9488	
43	23.4196	
43.25	23.7378	
43.5	23.6683	
43.75	20.5531	
44	19.7482	
44.25	22.0621	
44.5	19.9585	
44.75	19.9585	
45	19.9585	
45.25	20.3105	
45.5	18.3442	
45.75	18.5199	
46	20.9044	
46.25	18.9632	
46.5	19.9897	
46.75	20.8779	
47	19.2295	
47.25	18.7182	
47.5	17.6662	
47.75	16.7562	
48	20.1354	
48.25	16.0684	
48.5	16.112	
48.75	19.1325	
49	18.7332	
49.25	17.5627	
49.5	17.3931	
49.75	18.0587	
50	18.0587	
50.25	18.9539	
50.5	18.1155	
50.75	15.72	
51	15.5278	
51.25	16.6619	
51.5	15.934	
51.75	15.934	
52	16.7408	
52.25	16.7408	
52.5	16.7234	
52.75	14.4337	
53	17.0797	
53.25	17.0797	
53.5	17.1083	
53.75	14.8332	
54	14.9125	
54.25	14.7229	
54.5	16.9069	
54.75	16.8942	
55	16.3564	
55.25	16.7253	
55.5	17.7051	
55.75	19.0008	
56	18.4774	
56.25	18.6857	
