Frequency - Plot 0	Amplitude - Plot 0	
200	-110.731	
200.25	-111.533	
200.5	-109.446	
200.75	-109.775	
201	-107.512	
201.25	-108.138	
201.5	-108.787	
201.75	-108.995	
202	-107.787	
202.25	-104.502	
202.5	-110.336	
202.75	-103.854	
203	-107.875	
203.25	-108.49	
203.5	-106.82	
203.75	-106.403	
204	-109.731	
204.25	-103.656	
204.5	-109.039	
204.75	-104.381	
205	-108.303	
205.25	-109.512	
205.5	-108.622	
205.75	-110.479	
206	-108.655	
206.25	-110.786	
206.5	-100.657	
206.75	-106.853	
207	-108.644	
207.25	-111.819	
207.5	-111.423	
207.75	-112.05	
208	-112.555	
208.25	-111.401	
208.5	-113.027	
208.75	-101.261	
209	-99.9536	
209.25	-100.239	
209.5	-113.522	
209.75	-114.587	
210	-99.8547	
210.25	-112.423	
210.5	-110.962	
210.75	-112.247	
211	-113.093	
211.25	-102.887	
211.5	-112.906	
211.75	-109.896	
212	-98.0969	
212.25	-109.698	
212.5	-108.479	
212.75	-113.093	
213	-109.918	
213.25	-114.401	
213.5	-101.36	
213.75	-101.437	
214	-100.239	
214.25	-98.7561	
214.5	-102.865	
214.75	-104.359	
215	-102.678	
215.25	-111.445	
215.5	-113.324	
215.75	-106.721	
216	-113.533	
216.25	-109.116	
216.5	-98.7012	
216.75	-111.204	
217	-110.588	
217.25	-100.063	
217.5	-99.624	
217.75	-102.942	
218	-101.184	
218.25	-106.886	
218.5	-107.853	
218.75	-108.105	
219	-100.031	
219.25	-100.481	
219.5	-105.842	
219.75	-99.646	
220	-107.292	
220.25	-108.831	
220.5	-105.447	
220.75	-100.679	
221	-108.336	
221.25	-106.227	
221.5	-105.425	
221.75	-101.953	
222	-105.677	
222.25	-103.491	
222.5	-106.732	
222.75	-105.809	
223	-106.249	
223.25	-106.479	
223.5	-107.501	
223.75	-108.918	
224	-107.963	
224.25	-108.413	
224.5	-107.996	
224.75	-109.303	
225	-108.995	
225.25	-109.325	
225.5	-108.501	
225.75	-110.314	
226	-108.94	
226.25	-110.127	
226.5	-111.467	
226.75	-111.907	
227	-112.709	
227.25	-111.566	
227.5	-108.666	
227.75	-112.687	
228	-111.27	
228.25	-109.336	
228.5	-111.83	
228.75	-111.654	
229	-108.896	
229.25	-110.698	
229.5	-112.72	
229.75	-109.731	
230	-109.336	
230.25	-108.083	
230.5	-109.226	
230.75	-109.446	
231	-112.478	
231.25	-109.83	
231.5	-116.038	
231.75	-109.248	
232	-113.236	
232.25	-117.125	
232.5	-120.861	
232.75	-112.335	
233	-110.775	
233.25	-118.059	
233.5	-121.157	
233.75	-112.764	
234	-122.3	
234.25	-117.938	
234.5	-121.014	
234.75	-112.159	
235	-120.74	
235.25	-111.423	
235.5	-125.519	
235.75	-124.98	
236	-114.73	
236.25	-125.771	
236.5	-116.136	
236.75	-114.236	
237	-124.42	
237.25	-113.621	
237.5	-114.631	
237.75	-127.277	
238	-117.224	
238.25	-123.442	
238.5	-123.486	
238.75	-117.4	
239	-123.431	
239.25	-129.353	
239.5	-125.244	
239.75	-129.023	
240	-124.86	
240.25	-126.804	
240.5	-128.057	
240.75	-123.728	
241	-126.046	
241.25	-126.123	
241.5	-131.638	
241.75	-127.595	
242	-129.474	
242.25	-128.881	
242.5	-130.704	
242.75	-130.331	
243	-132.122	
243.25	-130.737	
243.5	-134.044	
243.75	-128.507	
244	-136.78	
244.25	-137.065	
244.5	-134.78	
244.75	-136.945	
245	-132.55	
245.25	-132.187	
245.5	-133.748	
245.75	-138.131	
246	-136.879	
246.25	-135.604	
246.5	-136.571	
246.75	-138.735	
247	-135.989	
247.25	-134.923	
247.5	-137.977	
247.75	-136.307	
248	-136.692	
248.25	-137.01	
248.5	-137.208	
248.75	-138.483	
249	-137.351	
249.25	-138.669	
249.5	-138.351	
249.75	-138.823	
250	-137.725	
250.25	-131.935	
250.5	-142.877	
250.75	-145.898	
251	-134.066	
251.25	-138.658	
251.5	-146.547	
251.75	-132.264	
252	-147.173	
252.25	-138.779	
252.5	-147.36	
252.75	-147.316	
253	-146.415	
253.25	-145.118	
253.5	-144.613	
253.75	-140.35	
254	-134.33	
254.25	-146.744	
254.5	-136.912	
254.75	-147.821	
255	-146.162	
255.25	-147.909	
255.5	-137.769	
255.75	-140.834	
256	-142.163	
256.25	-140.076	
256.5	-148.843	
256.75	-142.13	
257	-137.307	
257.25	-148.601	
257.5	-148.348	
257.75	-140.515	
258	-145.283	
258.25	-140.087	
258.5	-146.25	
258.75	-139.658	
259	-139.153	
259.25	-139.153	
259.5	-141.625	
259.75	-140.471	
260	-144.646	
260.25	-141.13	
260.5	-149.041	
260.75	-146.129	
261	-146.085	
261.25	-145.701	
261.5	-145.162	
261.75	-143.273	
262	-145.261	
262.25	-142.987	
262.5	-148.887	
262.75	-148.48	
263	-148.458	
263.25	-147.052	
263.5	-145.305	
263.75	-148.107	
264	-146.118	
264.25	-148.799	
264.5	-147.832	
264.75	-148.722	
265	-148.579	
265.25	-149.238	
265.5	-147.491	
265.75	-149.326	
266	-148.832	
266.25	-148.799	
266.5	-149.205	
266.75	-149.172	
267	-149.722	
267.25	-149.238	
267.5	-135.209	
267.75	-136.121	
268	-139.79	
268.25	-142.075	
268.5	-144.02	
268.75	-148.733	
269	-149.546	
269.25	-148.579	
269.5	-152.117	
269.75	-149.634	
270	-150.853	
270.25	-151.183	
270.5	-150.447	
270.75	-149.678	
271	-154.336	
271.25	-152.271	
271.5	-154.677	
271.75	-149.546	
272	-150.04	
272.25	-149.678	
272.5	-154.369	
272.75	-151.589	
273	-152.479	
273.25	-150.128	
273.5	-153.094	
273.75	-153.226	
274	-153.292	
274.25	-155.237	
274.5	-153.292	
274.75	-153.259	
275	-158.851	
275.25	-140.801	
275.5	-138.241	
275.75	-145.887	
276	-150.743	
276.25	-156.072	
276.5	-152.908	
276.75	-154.786	
277	-152.249	
277.25	-160.378	
277.5	-159.291	
277.75	-158.401	
278	-160.532	
278.25	-157.346	
278.5	-134.11	
278.75	-145.052	
279	-147.491	
279.25	-157.808	
279.5	-151.271	
279.75	-160.796	
280	-155.061	
280.25	-152.809	
280.5	-162.982	
280.75	-152.963	
281	-162.125	
281.25	-160.719	
281.5	-156.127	
281.75	-163.608	
282	-160.939	
282.25	-158.225	
282.5	-159.62	
282.75	-163.685	
283	-160.378	
283.25	-158.643	
283.5	-160.84	
283.75	-164.597	
284	-155.588	
284.25	-156.61	
284.5	-164.938	
284.75	-159.148	
285	-137.988	
285.25	-154.006	
285.5	-149.755	
285.75	-146.898	
286	-162.345	
286.25	-157.346	
286.5	-155.72	
286.75	-157.665	
287	-160.115	
287.25	-167.245	
287.5	-161.169	
287.75	-158.654	
288	-159.609	
288.25	-166.75	
288.5	-167.761	
288.75	-167.421	
289	-164.872	
289.25	-164.85	
289.5	116.18	
289.75	112.028	
290	111.775	
290.25	113.895	
290.5	113.181	
290.75	113.093	
291	112.083	
291.25	111.544	
291.5	114.664	
291.75	115.642	
292	113.807	
292.25	113.862	
292.5	115.181	
292.75	113.983	
293	114.214	
293.25	115.477	
293.5	114.313	
293.75	116.576	
294	116.543	
294.25	116.763	
294.5	117.598	
294.75	116.653	
295	116.422	
295.25	118.718	
295.5	117.202	
295.75	118.993	
296	118.795	
296.25	119.586	
296.5	119.597	
296.75	119.685	
297	120.795	
297.25	120.179	
297.5	120.992	
297.75	120.179	
298	118.905	
298.25	120.311	
298.5	121.19	
298.75	119.927	
299	119.553	
299.25	120.432	
299.5	120.85	
299.75	122.267	
300	119.696	
300.25	121.838	
300.5	120.465	
300.75	120.267	
301	119.355	
301.25	120.674	
301.5	119.707	
301.75	118.938	
302	118.092	
302.25	119.388	
302.5	116.719	
302.75	118.158	
303	116.06	
303.25	116.301	
303.5	115.576	
303.75	114.763	
304	114.763	
200	114.763	
