Frequency - Plot 0	Amplitude - Plot 0	
1	145.887	
1.25	-1.56006	
1.5	-1.56006	
1.75	-9.37134	
2	-9.37134	
2.25	-9.85474	
2.5	-9.85474	
2.75	-9.85474	
3	-10.0305	
3.25	-10.0305	
3.5	-10.415	
3.75	-10.415	
4	-10.8105	
4.25	-10.8105	
4.5	-10.8105	
4.75	-11.3928	
5	-11.6565	
5.25	-11.6565	
5.5	-11.9861	
5.75	-11.9861	
6	-12.7551	
6.25	-12.6453	
6.5	-13.3484	
6.75	-13.1067	
7	-13.1067	
7.25	-13.1067	
7.5	-13.1067	
7.75	-13.1067	
8	-13.645	
8.25	-14.2163	
8.5	-14.2163	
8.75	-14.3481	
9	-14.48	
9.25	-14.48	
9.5	-14.6228	
9.75	-14.6228	
10	-15.249	
10.25	-15.4907	
10.5	-15.4907	
10.75	-15.4138	
11	-15.9521	
11.25	-15.5676	
11.5	-14.469	
11.75	-14.469	
12	-16.051	
12.25	-15.7654	
12.5	-15.7654	
12.75	-16.4026	
13	-16.7981	
13.25	-17.7649	
13.5	-17.7649	
13.75	-18.2153	
14	-18.2153	
14.25	-18.2703	
14.5	-18.7317	
14.75	-18.7756	
15	-18.7756	
15.25	-17.8418	
15.5	-17.9956	
15.75	-17.9956	
16	-17.9956	
16.25	-17.4573	
16.5	-17.4573	
16.75	-17.5781	
17	-18.4241	
17.25	-18.4241	
17.5	-20.4565	
17.75	-20.4565	
18	-21.1487	
18.25	-22.1594	
18.5	-21.5112	
18.75	-21.5002	
19	-21.3245	
19.25	-21.3245	
19.5	-21.1597	
19.75	-21.1597	
20	-21.0059	
20.25	-21.1047	
20.5	-21.0498	
20.75	-23.1042	
21	-24.8401	
21.25	-23.2361	
21.5	-23.2141	
21.75	-23.0933	
22	-23.0933	
22.25	-20.1929	
22.5	-25.4773	
22.75	-25.9387	
23	-23.4558	
23.25	-24.1699	
23.5	-23.0493	
23.75	-24.0491	
24	-23.1372	
24.25	-25.9277	
24.5	-25.741	
24.75	-25.3015	
25	-24.7522	
25.25	-23.3679	
25.5	-23.3679	
25.75	-26.9275	
26	-28.2239	
26.25	-27.6196	
26.5	-26.4001	
26.75	-26.4001	
27	-26.1255	
27.25	-23.6096	
27.5	-27.6636	
27.75	-27.0154	
28	-28.4656	
28.25	-28.916	
28.5	-28.916	
28.75	-27.4438	
29	-26.2354	
29.25	-26.51	
29.5	-28.4216	
29.75	-31.0034	
30	-27.5317	
30.25	-26.9934	
30.5	-26.9934	
30.75	-25.5432	
31	-26.3123	
31.25	-27.356	
31.5	-30.0586	
31.75	-29.7729	
32	-28.0591	
32.25	-28.3337	
32.5	-25.675	
32.75	-30.3223	
33	-24.939	
33.25	-27.6636	
33.5	-29.6411	
33.75	-29.6411	
34	-29.6411	
34.25	-29.6411	
34.5	-26.532	
34.75	-34.3213	
35	-28.5425	
35.25	-28.5425	
35.5	-27.5537	
35.75	-27.5537	
36	-31.5637	
36.25	-28.136	
36.5	-28.136	
36.75	-30.9265	
37	-32.4976	
37.25	-35.2551	
37.5	-31.7395	
37.75	-32.3547	
38	-35.1892	
38.25	-33.9807	
38.5	-42.2314	
38.75	-39.2981	
39	-43.2092	
39.25	-24.4116	
39.5	-39.0674	
39.75	-33.9478	
40	-31.0583	
40.25	-36.0132	
40.5	-34.7388	
40.75	-34.6399	
41	-28.158	
41.25	-40.968	
41.5	-34.4092	
41.75	-43.4949	
42	-37.3975	
42.25	-37.3975	
42.5	-29.5862	
42.75	-33.0579	
43	-45.7251	
43.25	-44.7144	
43.5	-32.5854	
43.75	-42.4182	
44	-39.6606	
44.25	-42.7368	
44.5	-38.584	
44.75	-38.584	
45	-38.584	
45.25	-43.374	
45.5	-38.6609	
45.75	-48.7354	
46	-40.188	
46.25	-41.6162	
46.5	-39.6936	
46.75	-46.4282	
47	-40.7812	
47.25	-41.1438	
47.5	-46.2195	
47.75	-49.7681	
48	-42.594	
48.25	-40.957	
48.5	-40.3088	
48.75	-45.9998	
49	-37.1118	
49.25	-35.5627	
49.5	-39.364	
49.75	-40.6824	
50	-40.6824	
50.25	-35.4639	
50.5	-32.7722	
50.75	-33.2227	
51	-35.9473	
51.25	-40.0891	
51.5	-33.2117	
51.75	-33.2117	
52	-36.7053	
52.25	-36.7053	
52.5	-38.606	
52.75	-33.9148	
53	-32.7173	
53.25	-32.7173	
53.5	-26.3013	
53.75	-43.2202	
54	-33.1018	
54.25	-29.3225	
54.5	-32.8162	
54.75	-22.4451	
55	-21.4893	
55.25	-21.9177	
55.5	-24.1919	
55.75	-30.7068	
56	-31.1462	
56.25	-16.864	
56.5	-30.9595	
56.75	-30.9595	
57	-22.2583	
57.25	-18.6658	
57.5	-23.5547	
57.75	-18.2043	
58	-23.9941	
58.25	-20.3796	
58.5	-19.9292	
58.75	-19.9182	
59	-27.8833	
59.25	-26.7847	
59.5	-27.2791	
59.75	-25.9937	
60	-15.5347	
60.25	-26.3672	
60.5	-22.3901	
60.75	-29.3225	
61	-28.949	
61.25	-27.1912	
61.5	-25.6091	
61.75	-25.0269	
62	-22.3132	
62.25	-24.2139	
62.5	-23.7305	
62.75	-17.3035	
63	-23.8293	
63.25	-28.3008	
63.5	-26.6858	
63.75	-18.8086	
64	-18.8086	
64.25	-26.3342	
64.5	-18.0396	
64.75	-26.8726	
65	-28.7402	
65.25	-26.1365	
65.5	-29.1357	
65.75	-26.9824	
66	-24.5874	
66.25	-24.5874	
66.5	-27.8943	
66.75	-34.4092	
67	-27.4548	
67.25	-38.3533	
67.5	-30.1025	
67.75	-35.8923	
68	-37.9248	
68.25	-41.1548	
68.5	-41.1548	
68.75	-38.3203	
69	-34.6619	
69.25	-38.4192	
69.5	-36.2769	
69.75	-38.3862	
70	-38.1116	
70.25	-44.7363	
70.5	-39.7046	
70.75	-42.5061	
71	-42.7258	
71.25	-42.3962	
71.5	-46.2744	
71.75	-47.8564	
72	-37.9028	
72.25	-42.6709	
72.5	-49.5483	
72.75	-45.3406	
73	-43.5937	
73.25	-44.1431	
73.5	-36.3977	
73.75	-37.4963	
74	-43.2642	
74.25	-48.4827	
74.5	-38.8037	
74.75	-46.615	
75	-41.9458	
75.25	-41.1768	
75.5	-43.6926	
75.75	-43.418	
76	-47.0215	
76.25	-47.6917	
76.5	-46.4502	
76.75	-46.7798	
77	-52.5586	
77.25	-49.845	
77.5	-44.8352	
77.75	-50.1196	
78	-45.2087	
78.25	-44.2969	
78.5	-44.9451	
78.75	-51.3721	
79	-56.3489	
79.25	-57.832	
79.5	-52.9651	
79.75	-47.1863	
80	-48.0652	
80.25	-47.2961	
80.5	-58.7	
80.75	-48.7793	
81	-48.6365	
81.25	-53.866	
81.5	-53.2507	
81.75	-52.3608	
82	-50.3833	
82.25	-53.3496	
82.5	-53.7451	
82.75	-53.9209	
83	-53.6572	
83.25	-53.3606	
83.5	-54.7119	
83.75	-54.0967	
84	-50.8667	
84.25	-59.3262	
84.5	-54.7449	
84.75	-57.5464	
85	-56.5466	
85.25	-51.6907	
85.5	-52.8003	
85.75	-56.1621	
86	-58.7988	
86.25	-45.2527	
86.5	-47.0984	
86.75	-58.9966	
87	-57.2388	
87.25	-46.9666	
87.5	-50.9106	
87.75	-57.854	
88	-52.3718	
88.25	-58.8098	
88.5	-57.6892	
88.75	-51.0645	
89	-57.3816	
89.25	-56.4368	
89.5	-55.8545	
89.75	-51.7676	
90	-52.5806	
90.25	-49.9548	
90.5	-46.4832	
90.75	-43.7146	
91	-44.2749	
91.25	-45.3186	
91.5	-41.5833	
91.75	-40.3088	
92	-37.002	
92.25	-43.8574	
92.5	-43.1213	
92.75	-46.2195	
93	-35.7166	
93.25	-44.0881	
93.5	-47.0874	
93.75	-44.198	
94	-40.0232	
94.25	-40.5066	
94.5	-45.0659	
94.75	-38.4082	
95	-40.7373	
95.25	-35.6616	
95.5	-31.6736	
95.75	-43.7036	
96	-34.2554	
96.25	-30.3662	
96.5	-34.8157	
96.75	-39.5947	
97	-41.3525	
97.25	-29.2017	
97.5	-38.2104	
97.75	-33.1348	
98	-29.7839	
98.25	-31.5417	
98.5	-30.9375	
98.75	-35.6177	
99	-34.7058	
99.25	-35.8923	
99.5	-34.2334	
99.75	-35.1782	
100	-35.8484	
100.25	-33.9038	
100.5	-36.123	
100.75	-34.6289	
101	-34.1125	
101.25	-33.0029	
101.5	-33.8599	
101.75	-36.8921	
102	-36.6943	
102.25	-30.2124	
102.5	-36.0791	
102.75	-34.1345	
103	-36.98	
103.25	-36.3428	
103.5	-40.0781	
103.75	-32.0471	
104	-27.29	
104.25	-38.3313	
104.5	-27.7734	
104.75	-39.8145	
105	-38.9246	
105.25	-30.8716	
105.5	-33.2776	
105.75	-35.6946	
106	-28.0481	
106.25	-32.5525	
106.5	-28.96	
106.75	-38.6279	
107	-36.7273	
107.25	-38.9465	
107.5	-34.9036	
107.75	-37.9138	
108	-37.2876	
108.25	-33.772	
108.5	-35.8594	
108.75	-34.3762	
109	-32.7612	
109.25	-32.6843	
109.5	-34.9585	
109.75	-33.4424	
110	-36.0901	
110.25	-36.5955	
110.5	-36.4966	
110.75	-36.7932	
111	-36.7273	
111.25	-36.0242	
111.5	-37.9358	
111.75	-36.2109	
112	-39.0015	
112.25	-38.2654	
112.5	-38.2214	
112.75	-37.738	
113	-38.1226	
113.25	-40.2319	
113.5	-37.4084	
113.75	-39.1333	
114	-38.0237	
114.25	-42.5061	
114.5	-43.3081	
114.75	-39.1113	
115	-40.8142	
115.25	-37.0459	
115.5	-42.6709	
115.75	-45.78	
116	-45.6921	
116.25	-46.9666	
116.5	-38.0347	
116.75	-45.6921	
117	-48.4058	
117.25	-37.749	
117.5	-36.9031	
117.75	-38.54	
118	-40.7153	
118.25	-41.9678	
118.5	-44.7144	
118.75	-44.0991	
119	-48.8013	
119.25	-42.3853	
119.5	-40.3967	
119.75	-41.4294	
120	-41.2866	
120.25	-48.9441	
120.5	-51.427	
120.75	-41.2317	
121	-48.6365	
121.25	-48.0762	
121.5	-47.9663	
121.75	-50.1086	
122	-45.9778	
122.25	-46.9006	
122.5	-45.4614	
122.75	-48.5046	
123	-47.6038	
123.25	-47.0105	
123.5	-46.4832	
123.75	-49.01	
124	-45.011	
124.25	-47.4609	
124.5	-46.8347	
124.75	-47.8455	
125	-46.4832	
125.25	-49.1199	
125.5	-49.0649	
125.75	-44.8901	
126	-48.6694	
126.25	-43.8245	
126.5	-43.2312	
126.75	-47.5598	
127	-43.9124	
127.25	-44.7803	
127.5	-44.8462	
127.75	-46.5491	
128	-45.5054	
128.25	-46.3513	
128.5	-46.3403	
128.75	-45.5273	
129	-46.4282	
129.25	-47.439	
129.5	-45.2637	
129.75	-45.813	
130	-49.021	
130.25	-49.4385	
130.5	-49.0649	
130.75	-46.7908	
131	-44.7363	
131.25	-49.4714	
131.5	-52.7673	
131.75	-45.7251	
132	-43.7476	
132.25	-44.5605	
132.5	-52.6025	
132.75	-44.1101	
133	-53.2617	
133.25	-43.0005	
133.5	-47.2961	
133.75	-50.9216	
134	-44.209	
134.25	-47.6038	
134.5	-44.8242	
134.75	-55.6567	
135	-55.5798	
135.25	-50.0427	
135.5	-45.1868	
135.75	-46.1316	
136	-50.0647	
136.25	-43.3411	
136.5	-54.3054	
136.75	-44.6265	
137	-46.8457	
137.25	-52.3059	
137.5	-54.4482	
137.75	-44.5276	
138	-52.218	
138.25	-50.1306	
138.5	-49.5703	
138.75	-44.4507	
139	-47.7026	
139.25	-49.3176	
139.5	-45.3955	
139.75	-46.2634	
140	-46.7468	
140.25	-49.9988	
140.5	-46.8457	
140.75	-51.3062	
141	-51.6577	
141.25	-50.4053	
141.5	-47.4829	
141.75	-49.823	
142	-49.021	
142.25	-49.2957	
142.5	-49.5813	
142.75	-48.9771	
143	-50.6799	
143.25	-44.3958	
143.5	-54.9316	
143.75	-49.2187	
144	-42.1765	
144.25	-52.9321	
144.5	-43.6707	
144.75	-46.6919	
